X,Y,Color
-9.527014168510021,11.07997703136371,blue
-10.681425879439445,10.990679872137614,blue
-9.757560503309522,11.442286339805381,blue
-11.700735634038331,11.130621370761666,blue
-9.2468571660508,12.013386741158918,blue
-11.534721340208044,11.165901617054054,blue
-9.994872921867728,10.919880265378584,blue
-10.120227670156192,10.862389829979293,blue
-10.806981878572952,11.006939851070538,blue
-7.128180605011083,12.711187102249461,blue
-10.597822919406344,11.226295787235685,blue
-9.527543006464242,11.634936598057118,blue
-8.904043881991438,13.741428767584678,blue
-11.215168801092215,10.233132738613833,blue
-8.657643628562019,12.185886992924992,blue
-10.122149787668322,11.10722320811249,blue
-8.987484523022827,12.876787616965089,blue
-10.913869146705869,9.81426469787823,blue
-11.0295302073745,9.281330779406282,blue
-8.790203550368313,12.83419331131007,blue
-9.498127696220967,12.03048627320166,blue
-9.861153822843766,11.285159447535563,blue
-9.359238886658328,10.588543938770528,blue
-9.472667334889339,12.554485024732625,blue
-11.154360235216688,10.878071085484184,blue
-12.213333479396823,9.322005370494285,blue
-11.681756510395127,9.69372115979948,blue
-11.788094251062159,9.473382060569078,blue
-12.2185349450314,11.304356664019904,blue
-10.647430780165598,10.509011384695231,blue
-10.528404320814362,9.719666386422091,blue
-10.039209174828747,10.400736553434427,blue
-9.78502405158425,12.228764899065919,blue
-10.384358802553503,11.427378246699353,blue
-10.253904078091885,10.17065866022416,blue
-9.926747925396059,9.875738011897955,blue
-10.997203837424676,9.922069410142925,blue
-10.713856287606713,10.922912591683057,blue
-9.964583653859519,10.608106388010501,blue
-10.677945365122703,10.091310625230793,blue
-10.57188106158651,10.734962067449432,blue
-10.105862315332335,10.370925106304579,blue
-8.664168661328231,10.564195303755632,blue
-9.681334711983865,9.749345716458585,blue
-10.337595250050036,9.89123790290036,blue
-10.585268278007407,9.985113713608577,blue
-10.114919940789754,11.194064747311357,blue
-7.758182205604767,12.199424955563565,blue
-13.147416521543981,8.589046598942645,blue
-9.464864106719883,12.362362955437447,blue
-9.767509560616238,9.902049051415794,blue
-9.132388049117717,12.393770864760139,blue
-11.148212714246272,9.258093274472841,blue
-7.885655758544489,11.723082226596471,blue
-8.999057239310496,12.327895604033344,blue
-10.051414995286116,11.83930950816866,blue
-9.840212301926641,10.224488905362177,blue
-10.71626358632496,10.713685049336114,blue
-9.94947717347463,9.899306577521878,blue
-10.143337414548956,10.722021927829672,blue
-9.056424609479192,11.893368067670657,blue
-9.6423557745307,10.626532363097846,blue
-10.083449202824447,12.4393273740939,blue
-9.32219389708118,11.834828964672866,blue
-9.443939626065793,11.960703515500096,blue
-9.777280539147506,10.545982980461066,blue
-11.52898547948704,10.103701791005834,blue
